Client Name,Client Identifier,Scheme Category/Section Name,Scheme Category/Section Name Identifier,Unique Member Reference,Unique ID,Status of Member,Status of Registration,Year of Birth,Gender,Short Post Code of Member,Contract Start Date,Contract End Date,Original Date of Joining,Scheme Policy Joining Date,Registration Status,Lapse Date
Client_045 Ltd,CL-045,Individual,SC-541,MBR-00001,UID-00000001,Active,Registered,1968,M,W1 4HE,2020-04-13,2024-08-06,2006-08-04,2016-10-16,Registered,
Client_168 Ltd,CL-168,Individual,SC-908,MBR-00002,UID-00000002,Active,Registered,1971,F,W18Q 1AC,2022-02-21,2025-10-30,2015-12-19,2021-08-01,Registered,
Client_151 Ltd,CL-151,Family,SC-134,MBR-00003,UID-00000003,Active,Registered,1986,F,EC8 1RG,2017-02-17,2024-11-18,2013-09-28,2015-08-01,Registered,
Client_117 Ltd,CL-117,Corporate,SC-337,MBR-00004,UID-00000004,Active,Registered,1971,F,CF8 5ZA,2015-06-08,2021-11-28,2007-06-06,2014-10-07,Registered,
Client_122 Ltd,CL-122,Individual,SC-282,MBR-00005,UID-00000005,Active,Registered,1994,M,N14 3GY,2023-03-29,2025-05-24,2014-07-26,2017-02-27,Registered,
Client_170 Ltd,CL-170,SME,SC-960,MBR-00006,UID-00000006,Lapsed,Cancelled,1982,M,L4E 6LT,2015-05-18,2022-01-18,2010-03-19,2012-01-31,Cancelled,2022-01-18
Client_166 Ltd,CL-166,Corporate,SC-274,MBR-00007,UID-00000007,Active,Registered,1983,M,M2 9DM,2016-06-16,2021-06-06,2009-01-23,2011-03-21,Registered,
Client_144 Ltd,CL-144,SME,SC-406,MBR-00008,UID-00000008,Active,Registered,1980,F,SE18X 6SG,2017-06-15,2021-10-07,2006-04-25,2008-05-09,Registered,
Client_074 Ltd,CL-074,SME,SC-150,MBR-00009,UID-00000009,Active,Registered,1990,F,SE2 5CH,2021-04-20,2025-10-30,2007-09-08,2008-07-15,Registered,
Client_175 Ltd,CL-175,Corporate,SC-664,MBR-00010,UID-00000010,Active,Registered,1990,F,W13X 6FL,2024-03-27,2025-10-30,2011-12-18,2015-08-24,Registered,
Client_149 Ltd,CL-149,Individual,SC-104,MBR-00011,UID-00000011,Active,Registered,1986,M,G7 2TU,2022-08-14,2025-10-30,2017-05-25,2019-02-14,Registered,
Client_074 Ltd,CL-074,Family,SC-976,MBR-00012,UID-00000012,Active,Registered,1988,F,N18 3OM,2016-12-15,2025-10-30,2007-10-15,2009-03-17,Registered,
Client_149 Ltd,CL-149,Individual,SC-764,MBR-00013,UID-00000013,Active,Registered,1980,F,M18N 1HB,2023-08-12,2025-10-30,2012-11-09,2020-10-16,Registered,
Client_025 Ltd,CL-025,Corporate,SC-579,MBR-00014,UID-00000014,Active,Registered,1988,M,L13H 6GU,2022-01-23,2025-10-30,2016-09-18,2016-11-20,Registered,
Client_124 Ltd,CL-124,Corporate,SC-584,MBR-00015,UID-00000015,Active,Registered,1979,M,EH13 8EI,2021-05-13,2024-02-12,2011-06-05,2016-01-22,Registered,
Client_061 Ltd,CL-061,Corporate,SC-757,MBR-00016,UID-00000016,Active,Registered,1983,M,E8 9IX,2016-02-25,2021-02-04,2011-08-29,2015-08-23,Registered,
